,Unnamed: 0,country,population,year,quarter,new_cases,percentage
730000,730000,Iceland,380368.0,2020,Q1,1162.0,0.3054936272241619
730001,730001,Iceland,380368.0,2020,Q2,672.0,0.176671013334455
730002,730002,Iceland,380368.0,2020,Q3,839.0,0.2205758633744163
730003,730003,Iceland,380368.0,2020,Q4,3070.0,0.8071131115130611
730004,730004,Iceland,380368.0,2021,Q1,462.0,0.1214613216674378
730005,730005,Iceland,380368.0,2021,Q2,433.0,0.1138371261515164
730006,730006,Iceland,380368.0,2021,Q3,5074.0,1.3339713119925969
730007,730007,Iceland,380368.0,2021,Q4,12494.0,3.284713750893871
730008,730008,Iceland,380368.0,2022,Q1,147112.0,38.67622933580112
730009,730009,Iceland,380368.0,2022,Q2,16354.0,4.299520464392378
730010,730010,Iceland,380368.0,2022,Q3,15959.0,4.195673663399655
730011,730011,Iceland,380368.0,2022,Q4,3582.0,0.941719597863122
730012,730012,Iceland,380368.0,2023,Q1,1298.0,0.3412484751608968
730013,730013,Iceland,380368.0,2023,Q2,224.0,0.0588903377781516
730014,730014,Iceland,380368.0,2023,Q3,407.0,0.1070016405165524
730015,730015,Iceland,380368.0,2023,Q4,649.0,0.1706242375804484
730016,730016,Iceland,380368.0,2024,Q1,124.0,0.0326000084129054
730017,730017,Iceland,380368.0,2024,Q2,221.0,0.0581016278971942
730018,730018,Iceland,380368.0,2024,Q3,482.0,0.1267193875404871
730019,730019,Iceland,380368.0,2024,Q4,125.0,0.0328629117065578
766500,766500,Ireland,5110013.0,2020,Q1,2625.0,0.0513697323274911
766501,766501,Ireland,5110013.0,2020,Q2,22814.0,0.4464567898359554
766502,766502,Ireland,5110013.0,2020,Q3,9938.0,0.1944809142364217
766503,766503,Ireland,5110013.0,2020,Q4,54140.0,1.0594884983658557
766504,766504,Ireland,5110013.0,2021,Q1,146639.0,2.869640449055609
766505,766505,Ireland,5110013.0,2021,Q2,36511.0,0.7144991607653444
766506,766506,Ireland,5110013.0,2021,Q3,119087.0,2.330463738546262
766507,766507,Ireland,5110013.0,2021,Q4,360677.0,7.05824036064096
766508,766508,Ireland,5110013.0,2022,Q1,710393.0,13.90198028850416
766509,766509,Ireland,5110013.0,2022,Q2,135557.0,2.6527721162353206
766510,766510,Ireland,5110013.0,2022,Q3,65505.0,1.281894977566593
766511,766511,Ireland,5110013.0,2022,Q4,28260.0,0.5530318611713904
766512,766512,Ireland,5110013.0,2023,Q1,15475.0,0.3028368029592097
766513,766513,Ireland,5110013.0,2023,Q2,6183.0,0.1209977352308105
766514,766514,Ireland,5110013.0,2023,Q3,7630.0,0.1493146886319075
766515,766515,Ireland,5110013.0,2023,Q4,7519.0,0.1471424828077736
766516,766516,Ireland,5110013.0,2024,Q1,6193.0,0.121193429449201
766517,766517,Ireland,5110013.0,2024,Q2,5470.0,0.107044737459572
766518,766518,Ireland,5110013.0,2024,Q3,9054.0,0.1771815453307066
766519,766519,Ireland,5110013.0,2024,Q4,2378.0,0.0465360851332472
803000,803000,Isle of Man,84144.0,2020,Q1,44.0,0.0522913101350066
803001,803001,Isle of Man,84144.0,2020,Q2,294.0,0.3494010268111808
803002,803002,Isle of Man,84144.0,2020,Q3,4.0,0.0047537554668187
803003,803003,Isle of Man,84144.0,2020,Q4,37.0,0.0439722380680737
803004,803004,Isle of Man,84144.0,2021,Q1,1186.0,1.4094884959117702
803005,803005,Isle of Man,84144.0,2021,Q2,46.0,0.054668187868416
803006,803006,Isle of Man,84144.0,2021,Q3,5931.0,7.048630918425556
803007,803007,Isle of Man,84144.0,2021,Q4,7824.0,9.298345693097549
803008,803008,Isle of Man,84144.0,2022,Q1,13222.0,15.7135386955695
803009,803009,Isle of Man,84144.0,2022,Q2,7875.0,9.358956075299488
803010,803010,Isle of Man,84144.0,2022,Q3,1545.0,1.8361380490587564
803011,803011,Isle of Man,84144.0,2022,Q4,0.0,0.0
803012,803012,Isle of Man,84144.0,2023,Q1,0.0,0.0
803013,803013,Isle of Man,84144.0,2023,Q2,0.0,0.0
803014,803014,Isle of Man,84144.0,2023,Q3,0.0,0.0
803015,803015,Isle of Man,84144.0,2023,Q4,0.0,0.0
803016,803016,Isle of Man,84144.0,2024,Q1,0.0,0.0
803017,803017,Isle of Man,84144.0,2024,Q2,0.0,0.0
803018,803018,Isle of Man,84144.0,2024,Q3,0.0,0.0
803019,803019,Isle of Man,84144.0,2024,Q4,0.0,0.0
810321,810321,Isle of Man,84144.0,2020,Q2,294.0,0.0
