country,year,cases,percentage_cases,vaccines,percentage_vaccines
Lithuania,2023,79725,2.8302168111151107,1711,0.06074005599019071
Lithuania,2024,51718,1.8359755790185173,149,0.005289461334037648
Luxembourg,2020,38383,5.875104849720502,799,0.12229916303901942
Luxembourg,2021,57505,8.80201923724507,463148,70.89188080500095
Luxembourg,2022,268979,41.171347403094366,17498,2.6783363640259843
Luxembourg,2023,25170,3.8526532336572195,60,0.009183917124331871
Malta,2021,34820,6.592274808119744,432910,81.96041605925096
Malta,2022,68801,13.025706463912881,33938,6.425290707580928
Malta,2023,4903,0.9282574205689577,398,0.07535110205719868
Malta,2024,2458,0.4653593187351617,2,0.00037864875405627476
Moldova,2021,231939,7.629604995021361,986048,32.43592817995603
Moldova,2022,220678,7.25917577937011,114553,3.7682069035163632
Moldova,2023,34603,1.1382614465127647,5074,0.16690860849076
Monaco,2021,4320,11.091427251020566,20426,52.442938201237524
Montenegro,2021,122800,19.97884975189132,283884,46.186284877572604
Montenegro,2022,85963,13.985682908972585,8899,1.4478158301472384
Netherlands,2021,2312304,12.914709003172511,12379337,69.14122667573407
Netherlands,2022,5480565,30.610119667644113,164367,0.9180246086692996
Netherlands,2023,53984,0.30151210689739105,3702,0.02067645635251448
North Macedonia,2021,141513,7.6899375949606465,842871,45.80233187482475
North Macedonia,2022,122279,6.644745565242719,11581,0.6293214565957845
North Macedonia,2023,4728,0.256923568498823,118,0.0064122210412142795
Norway,2020,49785,0.9123487321770379,2422,0.04438502820794991
Norway,2021,345124,6.324664936102602,4289980,78.61721028552473
Norway,2022,1080762,19.80580175725861,54593,1.0004590606757264
Poland,2020,1297400,3.3799015019486145,45600,0.11879413325794422
Poland,2021,2811801,7.325119795807473,21626068,56.33881587362638
Poland,2022,2259187,5.885485998522263,1177108,3.0665246625217586
Poland,2023,263677,0.6869140498915561,133768,0.34848363196597987
Portugal,2021,905174,8.689329778272691,9392375,90.16326559998848
Portugal,2022,4267920,40.970425959302396,390863,3.752137716201525
Portugal,2023,88960,0.8539825238850637,32990,0.31669158568984096
Romania,2020,627941,3.2761952244863717,9324,0.04864667902416139
Romania,2021,1179282,6.152740554801705,5464218,28.508800854144695
Russia,2020,3159297,2.1701465772504704,23500,0.016142339439877307
Russia,2021,7340685,5.042375701753862,73772200,50.67471887772411
Russia,2022,11298527,7.761049276792282,13844950,9.51020776289912
Russia,2023,1948043,1.3381264404032729,1412450,0.9702232911427532
San Marino,2021,5850,17.148887520886465,24271,71.14882889221118
San Marino,2022,14918,43.73112889514261,2051,6.012370650485152
Serbia,2021,962156,14.167650044513369,3302157,48.623928726776256
Serbia,2022,1148332,16.909072864396343,44918,0.6614130189901134
Slovakia,2021,662190,12.09878546238266,2495171,45.5889376477428
Slovakia,2022,1017453,18.589748508823185,70571,1.2893933597091571
Slovakia,2023,16343,0.2986007804583576,244116,4.46021098466453
Slovenia,2020,115411,5.456191525271484,5291,0.2501382828344908
Slovenia,2021,341431,16.14155434633586,1238949,58.57277931950663
Slovenia,2022,843961,39.899254454598314,15363,0.7263039953102026
Spain,2021,4180589,8.740811366705955,39581882,82.75813865013133
Spain,2022,7654824,16.004771726982383,1668528,3.488572664776938
Spain,2023,225378,0.47122225700863085,17986,0.037605283188941394
