country,measure,description,date_start,date_end
Belgium,ClosSec,Closure of educational institutions: secondary schools.,2021-03-29,2021-04-18
Belgium,ClosSecPartial,Closure of educational institutions: secondary schools - partially relaxed measure,2021-04-19,2022-01-10
Belgium,EntertainmentVenues,Closure of entertainment venues,2020-03-13,2020-06-30
Belgium,EntertainmentVenues,Closure of entertainment venues,2020-10-29,2021-05-07
Belgium,EntertainmentVenuesPartial,Closure of entertainment venues - partially relaxed measure,2020-07-01,2020-10-28
Belgium,EntertainmentVenuesPartial,Closure of entertainment venues - partially relaxed measure,2021-05-08,2021-09-30
Belgium,EntertainmentVenuesPartial,Closure of entertainment venues - partially relaxed measure,2021-11-27,2022-03-06
Belgium,GymsSportsCentres,Closure of gyms/sports centres,2020-03-13,2020-05-03
Belgium,GymsSportsCentresPartial,Closure of gyms/sports centres - partially relaxed measure,2020-05-04,2020-06-30
Belgium,GymsSportsCentresPartial,Closure of gyms/sports centres - partially relaxed measure,2020-10-29,2022-03-06
Belgium,IndoorOver1000,Interventions are in place to limit indoor mass/public gatherings of over 1000 participants,2020-03-10,2020-03-17
Belgium,IndoorOver50,Interventions are in place to limit indoor mass/public gatherings of over 50 participants,2021-11-29,2021-12-05
Belgium,IndoorOver500,Interventions are in place to limit indoor mass/public gatherings of over 500 participants,2020-07-01,2020-10-28
Belgium,IndoorOver500,Interventions are in place to limit indoor mass/public gatherings of over 500 participants,2021-10-28,2021-11-28
Belgium,IndoorOver500,Interventions are in place to limit indoor mass/public gatherings of over 500 participants,2021-12-06,2022-03-06
Belgium,MasksMandatoryAllSpacesPartial,Protective mask use in all public spaces on mandatory basis (enforced by law) - partially relaxed measure,2020-05-04,2022-05-22
Belgium,MassGather50,,2020-10-29,2021-06-08
Belgium,MassGather50Partial,,2021-11-29,2021-12-05
Belgium,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-10,2020-03-17
Belgium,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-07-01,2021-06-08
Belgium,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2021-10-28,2021-11-28
Belgium,MassGatherAllPartial,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included) - partially relaxed measure,2021-11-29,2022-03-06
Belgium,NonEssentialShops,Closures of non-essential shops,2020-10-30,2020-11-30
Belgium,NonEssentialShopsPartial,Closures of non-essential shops - partially relaxed measure,2020-04-03,2020-09-22
Belgium,NonEssentialShopsPartial,Closures of non-essential shops - partially relaxed measure,2020-10-19,2020-10-29
Belgium,NonEssentialShopsPartial,Closures of non-essential shops - partially relaxed measure,2020-12-01,2021-06-26
Belgium,NonEssentialShopsPartial,Closures of non-essential shops - partially relaxed measure,2021-12-26,2022-02-17
Belgium,OutdoorOver100,Interventions are in place to limit outdoor mass/public gatherings of over 100 participants,2021-11-29,2022-01-27
Belgium,OutdoorOver50,Interventions are in place to limit outdoor mass/public gatherings of over 50 participants,2021-05-08,2021-06-08
Belgium,OutdoorOver500,Interventions are in place to limit outdoor mass/public gatherings of over 500 participants,2020-07-01,2020-10-28
Belgium,OutdoorOver500,Interventions are in place to limit outdoor mass/public gatherings of over 500 participants,2021-10-28,2021-11-28
Belgium,OutdoorOver500,Interventions are in place to limit outdoor mass/public gatherings of over 500 participants,2022-01-28,2022-03-06
Belgium,PlaceOfWorship,Closure of places of worship,2020-03-13,2020-06-07
Belgium,PlaceOfWorshipPartial,Closure of places of worship - partially relaxed measure,2020-06-08,2020-10-27
Belgium,PlaceOfWorshipPartial,Closure of places of worship - partially relaxed measure,2021-03-08,2022-03-06
Belgium,PrivateGatheringRestrictions,Restrictions on private gatherings,2020-07-01,2021-03-07
Belgium,PrivateGatheringRestrictions,Restrictions on private gatherings,2021-04-26,2021-09-01
Belgium,PrivateGatheringRestrictionsPartial,Restrictions on private gatherings - partially relaxed measure,2021-03-08,2021-03-19
Belgium,PrivateGatheringRestrictionsPartial,Restrictions on private gatherings - partially relaxed measure,2021-11-20,2022-01-27
Belgium,QuarantineForInternationalTravellersPartial,,2020-07-08,2022-03-06
Belgium,RegionalStayHomeOrderPartial,Regional stay-at-home orders for the general population at least in one region (these are enforced and also referred to as 'lockdown') - partially relaxed measure,2020-07-28,2020-08-26
Belgium,RestaurantsCafes,Closure of restaurants and cafes/bars,2020-04-03,2020-06-07
Belgium,RestaurantsCafes,Closure of restaurants and cafes/bars,2020-10-19,2021-04-25
Belgium,RestaurantsCafesPartial,Closure of restaurants and cafes/bars - partially relaxed measure,2020-06-08,2020-10-18
Belgium,RestaurantsCafesPartial,Closure of restaurants and cafes/bars - partially relaxed measure,2021-04-26,2021-08-31
Belgium,RestaurantsCafesPartial,Closure of restaurants and cafes/bars - partially relaxed measure,2021-10-28,2022-02-17
Belgium,SocialCircle,Social circle/bubble to limit social contacts e.g. to limited number of households,2020-03-18,2021-06-08
Belgium,SocialCircle,Social circle/bubble to limit social contacts e.g. to limited number of households,2021-12-26,2022-01-01
Belgium,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2020-05-10,2020-10-18
Belgium,StayHomeOrder,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown'),2020-03-18,2020-05-09
Belgium,StayHomeOrderPartial,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown') - partially relaxed measure,2020-10-19,2021-05-07
Belgium,Teleworking,Teleworking recommendation,2020-03-10,
Bulgaria,AdaptationOfWorkplace,Adaptation of workplaces (e.g. to reduce risk of transmission),2020-10-01,2021-04-30
Bulgaria,AdaptationOfWorkplace,Adaptation of workplaces (e.g. to reduce risk of transmission),2022-07-22,
Bulgaria,BanOnAllEvents,Interventions are in place to limit all indoor/outdoor mass/public gatherings,2020-03-08,2020-05-14
Bulgaria,BanOnAllEventsPartial,Interventions are in place to limit all indoor/outdoor mass/public gatherings - partially relaxed measure,2020-05-15,2020-06-30
Bulgaria,BanOnAllEventsPartial,Interventions are in place to limit all indoor/outdoor mass/public gatherings - partially relaxed measure,2021-01-04,2021-03-31
Bulgaria,BanOnAllEventsPartial,Interventions are in place to limit all indoor/outdoor mass/public gatherings - partially relaxed measure,2021-11-02,2022-03-17
Bulgaria,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-13,2020-05-21
Bulgaria,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-11-27,2021-01-03
Bulgaria,ClosDaycare,Closure of educational institutions: daycare or nursery.,2021-03-22,2021-03-31
Bulgaria,ClosDaycarePartial,Closure of educational institutions: daycare or nursery - partially relaxed measure,2020-05-22,2020-06-14
Bulgaria,ClosHigh,Closure of educational institutions: higher education.,2020-03-13,2020-05-31
Bulgaria,ClosHighPartial,Closure of educational institutions: higher education - partially relaxed measure,2020-06-01,2021-05-31
Bulgaria,ClosHighPartial,Closure of educational institutions: higher education - partially relaxed measure,2021-10-21,2022-03-20
Bulgaria,ClosPrim,Closure of educational institutions: primary schools.,2020-03-13,2020-09-14
Bulgaria,ClosPrim,Closure of educational institutions: primary schools.,2020-11-27,2021-01-03
Bulgaria,ClosPrim,Closure of educational institutions: primary schools.,2021-03-22,2021-03-31
Bulgaria,ClosPrimPartial,Closure of educational institutions: primary schools - partially relaxed measure,2021-10-21,2021-12-05
Bulgaria,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-03-13,2020-05-17
Bulgaria,ClosPubAnyPartial,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers etc) - partially relaxed measure",2020-05-18,2020-06-14
Bulgaria,ClosPubAnyPartial,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers etc) - partially relaxed measure",2020-10-29,2022-03-20
Bulgaria,ClosSec,Closure of educational institutions: secondary schools.,2020-03-13,2020-09-14
Bulgaria,ClosSecPartial,Closure of educational institutions: secondary schools - partially relaxed measure,2020-10-29,2021-05-31
Bulgaria,ClosSecPartial,Closure of educational institutions: secondary schools - partially relaxed measure,2021-10-21,2021-12-05
Bulgaria,EntertainmentVenues,Closure of entertainment venues,2020-03-13,2020-05-17
Bulgaria,EntertainmentVenues,Closure of entertainment venues,2021-03-22,2021-03-31
Bulgaria,EntertainmentVenuesPartial,Closure of entertainment venues - partially relaxed measure,2020-11-14,2021-03-21
Bulgaria,EntertainmentVenuesPartial,Closure of entertainment venues - partially relaxed measure,2021-04-01,2022-03-20
Bulgaria,GymsSportsCentres,Closure of gyms/sports centres,2020-03-13,2020-05-17
Bulgaria,GymsSportsCentres,Closure of gyms/sports centres,2021-03-22,2021-03-31
Bulgaria,GymsSportsCentresPartial,Closure of gyms/sports centres - partially relaxed measure,2020-05-18,2020-06-14
Bulgaria,GymsSportsCentresPartial,Closure of gyms/sports centres - partially relaxed measure,2020-11-27,2021-03-21
Bulgaria,GymsSportsCentresPartial,Closure of gyms/sports centres - partially relaxed measure,2021-04-01,2022-02-23
Bulgaria,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2020-04-12,2020-04-30
