ISO2,ISO3,country,measure,description,date_start,date_end
LU,LUX,Luxembourg,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2021-05-06,2021-05-15
LU,LUX,Luxembourg,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2021-11-27,2022-01-14
LU,LUX,Luxembourg,StayHomeOrder,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown'),2020-03-18,2020-04-19
LU,LUX,Luxembourg,Teleworking,Teleworking recommendation,2020-03-14,2022-06-29
MT,MLT,Malta,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-13,2020-06-30
MT,MLT,Malta,ClosDaycare,Closure of educational institutions: daycare or nursery.,2021-03-15,2021-04-11
MT,MLT,Malta,ClosHigh,Closure of educational institutions: higher education.,2020-03-13,2020-06-30
MT,MLT,Malta,ClosHigh,Closure of educational institutions: higher education.,2020-09-01,2022-02-10
MT,MLT,Malta,ClosPrim,Closure of educational institutions: primary schools.,2020-03-13,2020-06-30
MT,MLT,Malta,ClosPrim,Closure of educational institutions: primary schools.,2021-03-15,2021-04-11
MT,MLT,Malta,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-03-18,2020-05-21
MT,MLT,Malta,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2021-03-11,2021-04-25
MT,MLT,Malta,ClosSec,Closure of educational institutions: secondary schools.,2020-03-13,2020-06-30
MT,MLT,Malta,ClosSec,Closure of educational institutions: secondary schools.,2021-03-15,2021-04-11
MT,MLT,Malta,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2020-05-22,2021-06-30
MT,MLT,Malta,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2021-12-11,2022-05-08
MT,MLT,Malta,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-13,2021-04-25
MT,MLT,Malta,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2021-07-05,2021-10-31
MT,MLT,Malta,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-03-13,2021-07-26
MT,MLT,Malta,Teleworking,Teleworking recommendation,2020-05-08,
NL,NLD,Netherlands,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-16,2020-05-10
NL,NLD,Netherlands,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-12-16,2021-02-07
NL,NLD,Netherlands,ClosHigh,Closure of educational institutions: higher education.,2020-03-12,2020-06-14
NL,NLD,Netherlands,ClosHigh,Closure of educational institutions: higher education.,2020-12-16,2021-04-25
NL,NLD,Netherlands,ClosHigh,Closure of educational institutions: higher education.,2021-12-20,2022-01-14
NL,NLD,Netherlands,ClosPrim,Closure of educational institutions: primary schools.,2020-03-16,2020-05-10
NL,NLD,Netherlands,ClosPrim,Closure of educational institutions: primary schools.,2020-12-16,2021-02-07
NL,NLD,Netherlands,ClosPrim,Closure of educational institutions: primary schools.,2021-12-20,2022-01-09
NL,NLD,Netherlands,ClosSec,Closure of educational institutions: secondary schools.,2020-03-16,2020-06-01
NL,NLD,Netherlands,ClosSec,Closure of educational institutions: secondary schools.,2020-12-16,2021-02-28
NL,NLD,Netherlands,ClosSec,Closure of educational institutions: secondary schools.,2021-12-20,2022-01-09
NL,NLD,Netherlands,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2021-11-28,2022-01-25
