freq,unit,age,sex,isced11,geo,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
A,NR,TOTAL,F,ED6,BA,: ,: ,41087 ,37798 ,34252 ,33736 ,32400 
A,NR,TOTAL,F,ED6,BE,206859 ,215156 ,208652 ,212275 ,209774 ,215192 ,217292 
A,NR,TOTAL,F,ED6,BG,92906 ,86063 ,80474 ,77815 ,76659 ,76975 ,77558 
A,NR,TOTAL,F,ED6,CH,98382 ,100351 ,102457 ,104972 ,107409 ,112292 ,114021 
A,NR,TOTAL,F,ED6,CY,10202 ,10527 ,10549 ,10619 ,11013 ,10489 ,11018 
A,NR,TOTAL,F,ED6,CZ,126842 ,117915 ,110174 ,106363 ,107858 ,111772 ,115882 
A,NR,TOTAL,F,ED6,DE,841674 ,862614 ,875203 ,926348 ,935194 ,959014 ,958287 
A,NR,TOTAL,F,ED6,DK,114179 ,114804 ,115155 ,114984 ,115286 ,114734 ,116045 
A,NR,TOTAL,F,ED6,EE,18755 ,17206 ,16402 ,16066 ,15619 ,15553 ,15387 
A,NR,TOTAL,F,ED6,EL,295771 ,300205 ,312706 ,327096 ,332189 ,343519 ,352978 
A,NR,TOTAL,F,ED6,ES,652643 ,656390 ,659866 ,663905 ,672116 ,699090 ,701075 
A,NR,TOTAL,F,ED6,EU27_2020,5531481 ,5552630 ,5573665 ,5658251 ,5742675 ,5914438 ,6014361 
A,NR,TOTAL,F,ED6,EU28,6399843 ,6442757 ,6480117 ,6604295 ,: ,: ,: 
A,NR,TOTAL,F,ED6,FI,111744 ,109265 ,106625 ,105975 ,106643 ,110129 ,114306 
A,NR,TOTAL,F,ED6,FR,596684 ,609995 ,625091 ,642678 ,670271 ,719466 ,761175 
A,NR,TOTAL,F,ED6,HR,52725 ,52841 ,52332 ,51252 ,50077 ,49409 ,49101 
A,NR,TOTAL,F,ED6,HU,105651 ,98565 ,96140 ,95729 ,97746 ,97253 ,99787 
A,NR,TOTAL,F,ED6,IE,82915 ,84591 ,86980 d,86879 ,88193 ,93324 ,94617 
A,NR,TOTAL,F,ED6,IS,8115 ,7854 ,7634 ,7894 ,8286 ,9536 ,9516 
A,NR,TOTAL,F,ED6,IT,581386 ,592866 ,612887 ,626170 ,667306 ,675634 ,694317 
A,NR,TOTAL,F,ED6,LI,143 ,167 ,174 ,201 ,198 ,209 ,203 
A,NR,TOTAL,F,ED6,LT,56031 ,52091 ,47947 ,44676 ,42296 ,41829 ,41610 
A,NR,TOTAL,F,ED6,LU,1637 ,1629 ,1614 ,1578 ,1657 ,1665 ,1746 
A,NR,TOTAL,F,ED6,LV,27984 ,26862 ,25517 ,23822 ,23255 ,22953 ,23241 
A,NR,TOTAL,F,ED6,ME,12574 ,12704 ,12364 ,11675 ,11312 ,10590 ,: 
A,NR,TOTAL,F,ED6,MK,32837 ,32297 ,31669 ,30352 ,29515 ,29482 ,29858 
A,NR,TOTAL,F,ED6,MT,4330 ,4515 ,4571 ,4860 ,4993 ,5317 ,5633 
A,NR,TOTAL,F,ED6,NL,328138 ,339801 ,343909 ,354980 ,361860 ,384205 ,383336 
A,NR,TOTAL,F,ED6,NO,119339 ,121685 ,120165 ,117615 ,116256 ,119413 ,120138 
A,NR,TOTAL,F,ED6,PL,595857 d,578737 d,557156 e,539909 e,512805 ,490241 ,498985 
A,NR,TOTAL,F,ED6,PT,108919 ,109071 ,112049 ,114441 ,118268 ,125700 ,137088 
A,NR,TOTAL,F,ED6,RO,181707 ,179382 ,181573 ,179418 ,181684 ,187871 ,188491 
A,NR,TOTAL,F,ED6,RS,108821 ,112696 ,109284 ,105933 ,101842 ,100893 ,101099 
A,NR,TOTAL,F,ED6,SE,153574 ,152752 ,154338 ,155545 ,164124 ,177134 ,170626 
A,NR,TOTAL,F,ED6,SI,26606 ,25977 ,24628 ,24547 ,24753 ,27212 ,26807 
A,NR,TOTAL,F,ED6,SK,54293 ,49751 ,45834 ,44371 ,44958 ,47634 ,48249 
A,NR,TOTAL,F,ED6,TR,1722579 ,1809975 ,1883795 ,1969082 ,2039744 ,2135940 ,2117388 
A,NR,TOTAL,F,ED6,UK,868362 ,890127 ,906452 ,946044 ,: ,: ,: 
A,NR,TOTAL,F,ED64,AL,: ,: ,: ,: ,: ,: d,: d
A,NR,TOTAL,F,ED64,AT,: d,: d,: d,105950 ,106078 ,111123 ,109724 
A,NR,TOTAL,F,ED64,BA,: ,: ,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED64,BE,69212 ,72024 ,72132 ,77045 ,76715 ,80856 ,84198 
A,NR,TOTAL,F,ED64,BG,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED64,CH,77612 ,79127 ,80100 ,81722 ,83599 ,87928 ,89099 
A,NR,TOTAL,F,ED64,CY,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED64,CZ,108824 ,101981 ,95710 ,92920 ,94471 ,97878 ,100461 
A,NR,TOTAL,F,ED64,DE,735227 ,760231 ,773348 ,781896 ,794002 ,815151 ,810103 
A,NR,TOTAL,F,ED64,DK,43136 ,42032 ,41709 ,41719 ,41475 ,42245 ,41708 
A,NR,TOTAL,F,ED64,EE,: d,: d,: d,: d,: z,: z,: z
A,NR,TOTAL,F,ED64,EL,203878 ,210796 ,219965 ,250848 ,270578 ,283179 ,291895 
A,NR,TOTAL,F,ED64,ES,: d,: d,: d,: d,: d,: d,: d
A,NR,TOTAL,F,ED64,FI,: d,: d,: d,: d,: d,: d,: z
A,NR,TOTAL,F,ED64,FR,408983 ,421769 ,430286 ,442275 ,459197 ,508221 ,510436 
A,NR,TOTAL,F,ED64,HR,31984 ,32593 ,32248 ,31392 ,30464 ,30270 ,30671 
A,NR,TOTAL,F,ED64,HU,: d,: d,: d,: d,: d,: d,: d
A,NR,TOTAL,F,ED64,IE,: d,: d,: d,: d,: d,: d,: d
A,NR,TOTAL,F,ED64,IS,: d,: d,: d,: d,: d,: d,: d
A,NR,TOTAL,F,ED64,IT,: d,: d,: d,: d,: z,: z,: z
A,NR,TOTAL,F,ED64,LI,143 ,167 ,174 ,201 ,198 ,209 ,203 
A,NR,TOTAL,F,ED64,LT,34382 ,31582 ,28471 ,25623 ,23472 ,23030 ,22947 
A,NR,TOTAL,F,ED64,LU,968 ,933 ,971 ,917 ,962 ,941 ,947 
A,NR,TOTAL,F,ED64,LV,9122 ,8834 ,8806 ,8645 ,9058 ,9698 ,10282 
A,NR,TOTAL,F,ED64,ME,10871 ,10947 ,10733 ,10280 ,9970 ,9237 ,: 
A,NR,TOTAL,F,ED64,MK,28077 ,31069 ,25561 ,22515 ,24054 ,24993 ,25342 
A,NR,TOTAL,F,ED64,MT,: d,: d,: d,: d,: d,3294 ,3617 
A,NR,TOTAL,F,ED64,NL,: d,: d,: d,108990 ,114253 ,122808 ,125517 
A,NR,TOTAL,F,ED64,NO,119339 ,121685 ,120165 ,117615 ,116256 ,119413 ,120138 
A,NR,TOTAL,F,ED64,PL,: d,: d,: d,: d,380599 e,364343 ,363045 
A,NR,TOTAL,F,ED64,PT,: d,: d,: d,: d,: d,: d,: d
A,NR,TOTAL,F,ED64,RO,: d,: d,: d,: d,: d,: d,: d
A,NR,TOTAL,F,ED64,RS,84822 ,89586 ,87226 ,85591 ,83275 ,82528 ,82132 
A,NR,TOTAL,F,ED64,SE,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED64,SI,15200 ,14750 ,13706 ,13618 ,13519 ,14691 ,14361 
A,NR,TOTAL,F,ED64,SK,: d,: d,: d,: d,: d,: d,: d
A,NR,TOTAL,F,ED64,TR,: d,: d,: d,: d,: d,: z,: z
A,NR,TOTAL,F,ED64,UK,868362 ,890127 ,906452 ,946044 ,: ,: ,: 
A,NR,TOTAL,F,ED65,AL,: ,: ,: ,: ,: ,: d,: d
A,NR,TOTAL,F,ED65,AT,: d,: d,: d,: z,: z,: z,: z
A,NR,TOTAL,F,ED65,BA,: ,: ,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED65,BE,137647 ,143132 ,136520 ,135230 ,133059 ,134336 ,133094 
A,NR,TOTAL,F,ED65,BG,6016 ,5417 ,4508 ,4370 ,4257 ,4175 ,4252 
A,NR,TOTAL,F,ED65,CH,20770 ,21224 ,22357 ,23250 ,23810 ,24364 ,24922 
A,NR,TOTAL,F,ED65,CY,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED65,CZ,18018 ,15934 ,14464 ,13443 ,13387 ,13894 ,15421 
A,NR,TOTAL,F,ED65,DE,106447 ,102383 ,101855 ,144452 bd,141192 ,143863 ,148184 
A,NR,TOTAL,F,ED65,DK,71043 ,72772 ,73446 ,73265 ,73811 ,72489 ,74337 
A,NR,TOTAL,F,ED65,EE,: d,: d,: d,: d,: z,: z,: z
A,NR,TOTAL,F,ED65,EL,91893 ,89409 ,92741 ,76248 ,61611 ,60340 ,61083 
A,NR,TOTAL,F,ED65,ES,: d,: d,: d,: d,: d,: d,: d
A,NR,TOTAL,F,ED65,FI,: d,: d,: d,: d,: d,: d,: z
