freq,unit,icha11_hc,geo,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
A,MIO_EUR,TOT_HC,HU,7428.99 ,7396.44 ,7488.05 ,7730.72 ,8123.68 ,8566.38 ,8952.28 ,9206.08 ,10057.80 ,11367.56 ,11296.76 ,12493.80 p
A,MIO_EUR,TOT_HC,IE,18611.51 ,18443.41 ,18559.32 ,19291.85 ,20180.53 ,21216.34 ,22460.46 ,23931.35 ,26505.49 ,28631.87 ,30983.40 ,33129.89 p
A,MIO_EUR,TOT_HC,IS,944.90 ,998.12 ,1116.93 ,1284.35 ,1533.61 ,1824.50 ,1876.51 ,1904.53 ,1828.31 ,2118.65 ,2478.54 ,2579.98 p
A,MIO_EUR,TOT_HC,IT,142676.00 ,141526.00 ,144317.00 ,146613.00 ,147963.00 ,150697.00 ,153790.00 ,155524.00 b,159892.00 ,170278.00 ,175719.00 ,176153.00 p
A,MIO_EUR,TOT_HC,LI,: ,276.68 ,283.02 ,324.90 ,329.92 ,325.71 ,314.30 ,332.63 ,340.19 ,360.15 ,395.76 ,: 
A,MIO_EUR,TOT_HC,LT,2096.85 ,2146.52 ,2265.58 ,2423.88 ,2581.36 ,2732.83 ,2972.32 ,3419.53 ,3727.72 ,4382.53 ,4881.95 ,5255.05 p
A,MIO_EUR,TOT_HC,LU,2463.12 b,2570.38 ,2708.90 ,2751.04 ,2850.33 ,2987.17 ,3174.33 ,3411.86 ,3719.75 ,4096.10 ,4304.06 ,4586.37 p
A,MIO_EUR,TOT_HC,LV,: ,1232.72 ,1290.77 ,1388.84 ,1556.09 ,1609.73 ,1804.22 ,2029.11 ,2193.54 ,3038.07 ,2925.67 ,: 
A,MIO_EUR,TOT_HC,MD,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,960.73 ,: 
A,MIO_EUR,TOT_HC,MT,: ,: ,795.04 ,889.47 ,945.12 ,1042.18 ,1109.70 ,1297.84 ,1415.73 p,1588.88 p,1660.94 ,: 
A,MIO_EUR,TOT_HC,NL,68816.00 ,69901.00 ,70964.00 ,71236.00 ,72918.00 ,74614.00 ,77553.00 ,82447.00 ,89399.00 ,96852.00 ,96820.00 ,: 
A,MIO_EUR,TOT_HC,NO,34806.36 ,35129.57 ,35132.03 ,35220.23 ,35318.92 ,36447.73 ,37118.10 ,38112.60 ,36879.92 ,41754.35 ,44879.54 p,: 
A,MIO_EUR,TOT_HC,PL,: ,25166.20 ,25681.21 ,27280.04 ,27756.39 ,30663.80 ,31501.68 ,34400.25 ,34182.62 p,37110.84 p,41869.59 p,52465.05 p
A,MIO_EUR,TOT_HC,PT,16247.14 ,16034.57 ,16168.20 ,16742.90 ,17519.59 ,18234.53 ,19313.26 ,20395.17 ,21150.13 ,24033.06 ,25370.25 ,26559.58 p
A,MIO_EUR,TOT_HC,RO,6281.85 ,7467.03 ,7568.11 ,7922.96 ,8509.07 ,9671.85 ,11371.07 ,12810.05 ,13727.90 ,15631.78 ,16337.18 ,: 
A,MIO_EUR,TOT_HC,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,5339.61 p,5835.65 p,: 
A,MIO_EUR,TOT_HC,SE,46165.14 ,48183.44 ,48043.30 ,49212.49 ,50601.13 ,51771.23 ,51496.64 ,51655.66 ,54461.32 ,60031.24 ,59110.13 ,59832.74 p
A,MIO_EUR,TOT_HC,SI,: ,: ,3199.66 ,3309.20 ,3428.78 ,3520.39 ,3797.15 ,4124.92 ,4435.43 ,4956.32 ,5478.52 ,5938.82 p
A,MIO_EUR,TOT_HC,SK,5550.07 ,5583.37 ,5256.33 ,5418.25 ,5666.47 ,5721.14 ,5991.41 ,6534.21 ,6659.30 ,7776.08 ,8476.28 ,: 
A,MIO_EUR,TOT_HC,UK,: ,209123.58 ,229962.02 ,261846.11 ,240323.80 ,231445.23 ,239761.83 ,256553.19 ,: ,: ,: ,: 
A,MIO_NAC,TOT_HC,AT,32499.92 ,33316.59 ,34540.89 ,35692.35 ,37020.51 ,38354.63 ,39871.46 ,41650.95 ,43102.90 ,49246.10 ,49897.38 ,52279.63 p
A,MIO_NAC,TOT_HC,BA,: ,2526.91 ,2591.18 ,2673.29 ,2766.05 ,2804.38 ,2973.66 ,3193.97 ,3369.60 ,3740.36 ,3976.27 ,: 
A,MIO_NAC,TOT_HC,BE,40558.00 ,41545.49 ,42752.47 ,44990.38 ,46420.10 ,48070.64 ,49967.10 ,51504.09 ,51902.39 ,56112.23 ,59625.83 ,: 
A,MIO_NAC,TOT_HC,BG,6230.78 ,5874.27 ,6465.12 ,6622.58 ,7112.83 ,7697.37 ,8058.92 ,8535.11 ,10220.60 ,11978.54 ,12860.17 ,: 
A,MIO_NAC,TOT_HC,CH,66603.48 ,69484.45 ,71218.99 ,73510.40 ,76118.34 ,78128.31 ,79458.69 ,81909.76 ,83622.55 ,89234.24 ,91481.90 ,: 
A,MIO_NAC,TOT_HC,CY,1274.30 ,1249.79 ,1211.80 ,1219.10 ,1264.90 ,1345.07 ,1479.54 ,1637.70 ,1934.86 ,2362.02 ,2463.99 ,: 
A,MIO_NAC,TOT_HC,CZ,310515.99 ,310520.98 ,330065.32 ,339278.48 ,354635.03 ,375083.26 ,403659.53 ,440931.62 ,522797.67 ,577424.94 ,597168.62 ,627186.26 p
A,MIO_NAC,TOT_HC,DE,297961.00 ,309222.00 ,322775.00 ,338638.00 ,352397.00 ,370023.00 ,386123.00 ,407025.00 ,431941.00 ,466713.00 ,488677.00 ,486257.00 p
A,MIO_NAC,TOT_HC,DK,199391.57 ,199319.40 ,204241.93 ,210643.06 ,216084.49 ,221450.67 ,227531.79 ,234618.19 ,248768.00 ,274120.95 ,268322.68 ,262918.20 p
A,MIO_NAC,TOT_HC,EE,1092.03 ,1187.71 ,1275.47 ,1370.20 ,1457.63 ,1572.37 ,1735.20 ,1892.72 ,2081.59 ,2351.64 ,2528.00 ,2848.46 p
A,MIO_NAC,TOT_HC,EL,16811.38 ,15178.58 ,13986.42 ,14497.60 ,14742.57 ,14391.37 ,14580.52 ,15031.34 ,15716.46 ,16670.38 ,17562.40 ,: 
