unit,s_adj,country,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3
Percentage of gross domestic product (GDP),Seasonally and calendar adjusted data,Slovenia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),Seasonally and calendar adjusted data,Slovakia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),Seasonally and calendar adjusted data,Turkey,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),Seasonally and calendar adjusted data,United Kingdom,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,
"Previous year prices, million euro","Calendar adjusted data, not seasonally adjusted data",Cyprus,4466.3,4849.2,4906.1,4902.2,4721.1,5107.6,5155.9,5122.7,5077.9,5484.4,5511.4,5512.6,5404.2,5818.9,5966.8,5899.5,5639.0,5261.6,5785.9,5961.1,5813.9,6123.8,6479.3,6504.5,6600.0,6838.6,7149.4,6983.8,7257.9,7470.7,7815.4,7640.1,7811.3,8046.7,8424.7
"Previous year prices, million euro","Calendar adjusted data, not seasonally adjusted data",Czechia,40914.1,44036.3,44592.5,45317.6,43442.8,47831.6,48338.6,49031.7,47369.6,51091.8,51562.3,52489.4,51697.4,55865.7,56428.8,57226.3,52798.6,51889.1,55871.0,56735.3,52807.1,57700.5,58868.8,59748.2,59444.5,64264.6,64487.9,64760.5,67656.8,73097.1,72849.1,73502.2,75239.9,81326.8,81756.6
"Previous year prices, million euro","Calendar adjusted data, not seasonally adjusted data",France,549235.6,554285.3,542438.0,572679.3,558453.3,568952.6,560710.2,593128.2,573843.8,580494.2,571090.1,605579.9,593799.9,602374.7,591274.9,618452.8,568819.5,504550.3,572657.1,604107.5,597842.9,609643.1,616017.7,651861.3,631754.8,641029.3,634168.4,664306.6,659177.9,671654.3,659928.0,693038.3,704297.1,711442.3,702051.3
"Previous year prices, million euro","Calendar adjusted data, not seasonally adjusted data",Italy,405884.9,421722.5,424567.0,433335.5,418799.8,435415.8,435093.1,446096.6,424941.4,441919.5,441318.4,451375.1,432365.2,449682.0,448399.1,455366.1,409547.3,372539.1,425715.3,435165.8,426879.1,449976.7,462920.6,475836.2,462493.6,484981.3,485353.2,494541.7,490001.2,503880.6,504085.2,513825.7,520434.8,536820.0,535980.9
"Previous year prices, million euro","Calendar adjusted data, not seasonally adjusted data",Luxembourg,13797.9,14245.6,14127.7,14824.5,13743.8,14212.6,14179.2,14812.2,14431.5,14664.9,14621.3,15319.3,14882.9,15493.8,15373.8,16093.5,15233.3,14621.9,15663.9,16153.5,16708.6,17210.8,17062.4,18180.7,18127.3,18405.1,18200.2,18542.6,18983.7,19431.4,18922.3,19529.8,19533.3 p,20132.2 p,19822.1 p
"Previous year prices, million euro","Calendar adjusted data, not seasonally adjusted data",Latvia,5465.9,6207.9,6418.6,6672.9,5710.0,6529.1,6839.5,6979.3,6168.2,7027.4,,,,,,,,,,,,,,,,,,,,,,,,,
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Albania,2399.7,2808.9,2647.1,2748.6,2529.8,2958.1,2767.5,2872.0,2734.7,3203.0,3007.3,3078.7,3046.8 b,3548.1,3378.7,3311.7,3048.5,3367.3,3473.4,3567.6,3281.1,3862.2,3670.3,3766.0,3619.9,4146.8,4093.0,4119.1,4194.4 p,4892.6 p,4837.3 p,4855.0 p,5058.4 p,5903.2 p,5840.3 p
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Austria,84922.8,86899.8,86551.5,90952.0,89015.5,90077.9,90036.3,94617.5,91659.9,93305.8,92918.2,98535.4,96190.4,96739.4,96436.6,100593.6,94961.6,84792.2,93881.1,97070.1,92200.0,98935.8,101415.1,106004.5,103191.6,107525.8,106201.6,110753.6,111176.0,110782.8,108759.9,113010.5,116604.6,116752.7,115342.1
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Bosnia and Herzegovina,3522.6,3785.2,4014.6,3948.3,3699.1,3963.9,4217.2,4096.2,3898.3,4195.4,4446.6,4342.9,4111.6,4441.1,4728.8,4573.5,4328.9,4190.5,4619.5,4605.9,4464.8,4683.4,4950.7,4969.5,4943.3,5206.0,5357.8,5353.6,5655.1,5930.8,6130.8,6072.6,6216.4,6510.7,6749.2
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Belgium,101564.5,106865.9,100940.1,111126.9,105342.6,110468.1,103919.4,115054.3,109026.2,114706.9,108124.5,119876.7,113376.1,119505.3,113126.9,124708.1,114951.8,107160.4,112109.3,122244.1,117205.2,124426.3,118921.5,131962.7,126516.7,134466.5,126898.5,139563.4,138806.8 p,145456.7 p,136395.3 p,149939.2 p,146114.6 p,153476.0 p,144196.7 p
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Bulgaria,9604.2,11571.2,12796.3,13212.2,10198.6,12286.3,13641.6,13964.3,10968.2,13196.0,14677.5,14998.5,11997.7,14319.4,15777.7,16163.3,12608.5,13839.3,16380.4,16508.4,13628.9,15488.2,18592.3,19020.2,15339.2,17257.5,20541.9,21122.8,18177.8,20395.5,24198.8,24934.6,19993.9 p,22523.3 p,26816.0 p
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Switzerland,155453.4,159871.6,159929.8,163218.2,154271.8,157082.7,157208.7,161675.3,154723.9,159562.1,157836.4,161267.8,151594.4,155290.8,155376.9,159057.5,157803.5,149793.9,159573.0,163470.5,164136.6,170760.2,174014.0,178010.6,173860.8,177962.9,177234.9,181095.3,196089.0,197923.4,196959.8,201794.7,205336.8,209638.7,209464.7
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Cyprus,4465.0,4849.0,4905.9,4903.8,4723.2,5107.6,5153.3,5123.1,5080.4,5484.7,5509.4,5511.9,5402.2,5819.3,5971.3,5896.6,5640.2,5258.1,5790.1,5959.2,5806.1,6124.3,6483.7,6507.3,6595.7,6839.5,7150.5,6986.1,7262.9,7469.9,7809.6,7641.8,7814.7,8041.2,8424.9
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Czechia,40749.5,44353.5,44526.0,45299.3,43628.7,47638.7,48134.1,49012.7,47305.8,51037.6,51359.2,52604.5,51628.5,55653.5,56630.7,57205.8,52865.7,51726.5,55928.4,56716.3,52740.3,57789.3,58792.6,59864.9,59519.9,64357.0,64402.2,64737.6,67904.9,72840.6,72597.2,73475.5,75151.6,81237.4,82011.2
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany,776815.0,785841.0,791316.0,802396.0,814347.0,807080.0,823089.0,838333.0,838165.0,837215.0,838864.0,854095.0,863739.0,853588.0,871897.0,875909.0,867883.0 p,776844.0 p,861871.0 p,883430.0 p,874056.0 p,884386.0 p,899896.0 p,917756.0 p,932067.0 p,917130.0 p,937535.0 p,940066.0 p,994429.0 p,968700.0 p,987238.0 p,993000.0 p,1047304.0 p,1029536.0 p,1049327.0 p
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Denmark,67003.3,70993.8,69794.8,72765.7,70131.3,73616.1,71917.4,75227.6,72293.6,75994.9,74280.3,77261.3,73712.1,77380.2,75945.9,79130.7,74921.5,72889.6,75543.2,79699.4,77477.3,83769.9,83305.9,90605.9,85377.8,88006.8,86255.3,90913.2,94565.0,97210.5,96062.0,104011.1,92694.5,97683.9,95001.4
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2629964.5,2708378.6,2690131.4,2779332.8,2728472.7,2787827.4,2788674.8,2883834.3,2813777.8,2881370.8,2860539.5,2959959.0,2906235.9,2968555.4,2968326.4,3037092.9,2874914.3,2596445.4,2897630.0,2987529.4,2931744.5,3052225.5,3100840.1,3208465.0,3162220.2,3247091.8,3255121.7,3328510.7,3394018.7,3437921.9,3431095.9,3514334.0,3601978.2,3667201.4,3679584.6
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Euro area - 12 countries (2001-2006),2575516.4,2649403.9,2628826.9,2718242.2,2671428.6,2725809.9,2724416.1,2819340.9,2753146.5,2815075.9,2791697.4,2891092.5,2841377.7,2898429.8,2895417.9,2964408.3,2808175.7,2530619.7,2823675.4,2913549.1,2862079.0,2976391.8,3020573.3,3128076.3,3086507.6,3166597.9,3171327.1,3245247.2,3295664.8,3330955.2,3317450.3,3404318.0,3491807.1,3548243.4,3553244.3
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Euro area - 19 countries  (2015-2022),2629964.5,2708378.6,2690131.4,2779332.8,2728472.7,2787827.4,2788674.8,2883834.3,2813777.8,2881370.8,2860539.5,2959959.0,2906235.9,2968555.4,2968326.4,3037092.9,2874914.3,2596445.4,2897630.0,2987529.4,2931744.5,3052225.5,3100840.1,3208465.0,3162220.2,3247091.8,3255121.7,3328510.7,3379087.8,3420388.7,3411022.6,3497027.1,3584618.6,3646915.3,3656268.9
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Euro area - 20 countries (from 2023),2640199.5,2720030.0,2703649.3,2790996.3,2739057.8,2799986.9,2802936.3,2895966.4,2824799.9,2894260.7,2875554.8,2972697.5,2918087.8,2982199.3,2984183.7,3050419.6,2886841.5,2608176.2,2912018.3,3000616.3,2944022.2,3066151.2,3117384.6,3222845.0,3175763.8,3262730.6,3273356.6,3343743.2,3394018.7,3437921.9,3431095.9,3514334.0,3601978.2,3667201.4,3679584.6
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Estonia,5110.4,5449.4,5446.8,5654.2,5455.2,5968.4,5816.7,6198.9,5856.7,6371.9,6301.9,6685.3,6403.7,6838.0,6930.1,7252.0,6584.9,6567.4,7065.4,7433.4,6901.9,7477.5,7566.0,7907.1,7560.1,7860.2,7955.6,8099.3,8309.4,8879.4,8956.8,9195.5,8781.9,9529.9,9611.6
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Greece,40902.5,43611.9,45789.6,45003.1,41069.9,44079.2,47064.2,44804.7,41872.8,45024.4,48196.4,45947.2,42310.7,46204.3,49743.1,46470.4,41452.8,38692.0,45054.1,42952.6,40391.5,44254.9,50088.1,47304.8,44217.6 p,47994.2 p,53020.7 p,49943.4 p,47865.8 p,52859.4 p,57585.3 p,54391.1 p,51503.0 p,57441.0 p,62504.2 p
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Spain,268764.0,282803.0,279466.0,287770.0,275987.0,292876.0,288714.0,297912.0,286616.0,303970.0,298148.0,309317.0,298129.0,313231.0,307110.0,317581.0,289872.0,248848.0,284036.0,293797.0,282870.0,300468.0,303085.0,318258.0,311472.0 p,330508.0 p,329538.0 p,340300.0 p,341005.0 p,353902.0 p,351104.0 p,364371.0 p,372557.0 p,388958.0 p,385684.0 p
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),European Union - 27 countries (from 2020),3029085.7,3141966.7,3122976.1,3252645.5,3144254.7,3235131.7,3238827.3,3374905.1,3256528.9,3359199.6,3340751.0,3482041.3,3367653.6,3465403.0,3470055.0,3581237.5,3351560.9,3060216.6,3394148.6,3532114.5,3416302.8,3579483.4,3639908.2,3803952.8,3701190.7,3818452.0,3835074.8,3952237.2,3961822.3,4033748.0,4039953.3,4177397.6,4212726.5,4317917.7,4340051.8
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Finland,51214.0,54391.0,53510.0,56483.0,52961.0,56204.0,55218.0,58460.0,54774.0,57545.0,56041.0,59027.0,56167.0,59334.0,58344.0,61190.0,56995.0,55922.0,57714.0,61945.0,56525.0,60998.0,60432.0,64759.0,59724.0,63557.0,62096.0,65285.0,63629.0,66906.0,64305.0,68044.0,64961.0,68771.0,67363.0
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),France,548341.7,557680.9,542112.5,572199.2,560909.1,566944.3,558656.6,591811.7,574869.8,577917.4,570197.5,606414.8,592737.3,599949.3,592765.2,617664.7,569799.2,502438.5,573764.6,605232.6,596690.4,610651.1,617728.6,652757.7,632431.1,642924.4,633789.8,663436.3,662110.3,669186.6,657387.9,691618.1,705635.2,708494.2,703744.6
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Croatia,10234.9,11651.4,13517.9,11663.4,10585.1,12159.5,14261.6,12132.1,11022.0,12889.8,15015.3,12738.5,11851.8,13643.8,15857.5,13326.7,11927.2,11730.9,14388.4,13086.9,12277.6,13925.7,16544.5,14379.9,13543.5,15638.9,18235.0,15232.5,14930.8 p,17533.3 p,20073.4 p,17306.9 p,17359.6 p,20286.2 p,23315.8 p
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Hungary,25916.5,28849.4,29799.3,31040.9,27320.0,30115.2,31276.0,32690.8,30133.8,33331.8,34667.1,36222.1,32324.5,35565.9,37091.2,38532.8,33958.3,31898.7,36579.5,38542.6,32715.2,37029.2,38292.4,40812.8,36648.8,41012.5,41467.1,42436.4,37867.8 p,41825.1 p,43353.1 p,44450.1 p,44954.0 p,49837.9 p,50502.5 p
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Ireland,65771.1,65793.2,68276.5,76035.7,71173.3,71632.1,78862.5,82295.6,79872.8,81042.4,85019.1,85864.6,83727.5,85212.2,91009.6,91795.5,94221.3,90192.0,105100.8,100192.3,104948.1,108842.3,117254.8,113292.1,114866.8,119011.1,129474.8,124584.0,122439.6,122095.7,126645.1,120947.1,116518.8,118222.2,130266.2
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Iceland,3805.0,4114.0,4529.3,4342.7,4494.7,4850.4,5285.3,4962.5,5380.3,5797.9,6029.3,5781.8,5226.0,5719.4,5970.5,5736.3,5048.3,4922.9,5288.2,5254.0,4627.8,4844.4,5319.6,5151.7,5556.6,5840.9,6297.3,6111.0,7009.4,7145.2,7457.6,7126.9,6868.5,7219.7,7484.6
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Italy,405048.9,422285.0,424121.0,432384.8,419669.9,434350.0,433853.8,444323.5,425543.5,441810.7,440148.6,451411.0,432315.2,449341.7,448415.2,455301.9,409591.6,372159.2,426476.7,435851.2,426765.5,451065.2,464094.2,477236.7,463417.7,485253.2,485619.1,494110.7,491881.6,503303.4,503322.9,512480.2,522116.3,537403.0,536796.7
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Lithuania,8679.7,9379.2,10369.4,10012.8,9209.7,9932.3,10910.4,10558.8,10052.8,10898.4,11858.2,11544.4,10937.7,11813.2,12848.3,12497.4,11537.2,11567.0,13349.8,12806.3,12134.7,12915.9,14467.8,13953.0,13595.9,14052.4,15632.1,14837.5,15486.1,16552.1,18354.9,17293.3,17377.5,18349.8,20502.5
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Luxembourg,13759.6,14206.1,14088.5,14783.4,13744.0,14212.8,14179.3,14812.3,14392.6,14625.3,14581.9,15278.0,14890.1,15501.4,15381.3,16101.3,15280.4,14667.2,15712.4,16203.5,16705.5,17207.6,17059.2,18177.3,18148.2,18426.3,18221.1,18564.0,18937.4,19384.1,18876.2,19482.2,19454.0 p,20050.5 p,19741.7 p
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Latvia,5390.4,6122.6,6297.6,6539.5,5592.9,6348.9,6585.5,6803.6,5856.7,6847.6,7076.2,7357.8,6192.0,7146.0,7451.9,7553.7,6391.0,6772.0,7561.0,7817.3,6648.3,7839.6,8352.5,8414.2,7702.3,8381.1,8283.9,8503.2,8788.4,9136.4,9423.5,9371.6,9424.7,9675.2,9867.4
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Montenegro,697.2,888.7,1224.5,951.9,752.7,970.8,1359.3,1057.9,821.3,1060.5,1491.6,1144.0,876.1,1147.7,1610.6,1218.2,913.0,923.2,1201.0,1155.8,860.0,1077.3,1533.1,1261.1,944.1,1285.4,1655.9,1387.2,1113.0,1526.8,1999.2,1660.4,1300.2 p,1762.1 p,2270.4 p
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),North Macedonia,2167.1,2311.6,2395.5,2456.5,2331.1,2393.9,2483.8,2552.1,2413.5,2531.0,2623.2,2759.8,2581.0,2793.6,2847.4,2942.1,2595.4,2383.7,2747.4,3007.5,2644.3,2781.2,2829.7,3086.0,2827.4,3019.2,3012.7,3301.8,3086.6 p,3353.2 p,3370.0 p,3707.9 p,3393.6 e,3720.0 e,3743.3 e
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Malta,2542.9,2615.3,2793.8,2686.2,2938.3,3019.3,3217.4,3098.6,3153.5,3316.1,3562.5,3404.8,3404.1,3537.2,3715.7,3580.4,3713.5,3296.6,3556.3,3540.7,3837.7,3947.1,4304.3,4183.3,4051.0,4303.6,4543.6,4485.8,4568.1,4794.8,5128.1,4998.6,5205.9,5458.2,5670.7
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Netherlands,173808.0,181904.0,176093.0,184320.0,180181.0,188259.0,181745.0,190022.0,187539.0,196126.0,188010.0,196146.0,196493.0,205770.0,197411.0,205707.0,202040.0,193420.0,196553.0,205659.0,204404.0,222278.0,215722.0,225307.0,224611.0,241853.0,230003.0,239725.0,243742.0,255695.0,241977.0,253147.0,259503.0,276185.0,264678.0
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Poland,102561.9,107633.3,108943.3,126456.9,104237.4,108285.7,110552.7,126617.8,115624.4,120558.3,123098.2,139087.7,122810.3,127586.3,130317.4,146320.5,128807.8,120763.0,131365.3,146527.2,128898.7,135440.7,142359.4,161969.3,146380.4,146571.0,153187.9,167501.5,156616.9,156181.9,166429.8,183402.4,179749.2,184171.1,191040.5
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Portugal,44332.6,45774.3,46489.3,46391.8,46655.1,48211.6,48921.5,48770.4,48671.1,50513.3,51095.7,50989.3,51210.0,52847.8,53400.4,53168.1,51078.2,44334.4,50867.9,50611.3,49230.5,52439.0,54725.4,55812.7,55811.9,57957.9,58948.6,58899.2,60478.4 e,62563.2 e,63328.0 e,63750.5 e,65590.9 e,68050.6 e,68930.4 e
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Romania,32203.2,38040.5,45466.7,49162.8,34436.0,42089.9,50389.3,54309.1,37781.0,45705.0,54994.6,59327.9,40939.2,49810.4,58543.6,64997.8,43757.6,47300.7,58250.9,67199.4,45191.5,54210.6,63564.0,70369.6,49361.9,58293.1,68022.2,76189.5,56076.9 p,67188.1 p,78321.7 p,86949.0 p,64484.1 p,76197.5 p,87935.5 p
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Serbia,8945.3,9537.8,9798.3,10045.7,9124.3,9686.4,9987.5,10268.5,10022.8,10666.9,10907.9,11129.1,10793.6,11529.4,12046.3,12465.1,11721.6,11009.8,12212.3,12703.9,12245.5,13005.6,13588.6,14081.5,13552.7 p,14325.6 p,14492.0 p,15032.6 p,15340.8 p,16325.8 p,16801.7 p,17476.0 p,18314.4 e,19404.1 e,19755.9 e
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Sweden,110847.0,120494.9,108000.3,123712.3,115244.4,121112.9,109979.7,127117.0,117621.5,125115.2,112119.3,129842.5,116153.0,122888.0,111564.9,128467.8,117799.3,113623.0,108082.1,126305.3,121627.9,129604.1,117617.0,138466.3,132798.3,140223.1,127841.5,145593.9,136588.4,139845.5,127820.2,146260.1,133720.2,139064.9,127160.4
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Slovenia,9364.1,10089.2,10080.9,10127.8,9943.6,10610.3,10642.8,10886.9,10482.0,11171.8,11318.7,11519.5,11188.8,11784.6,11953.7,12128.9,11328.4,10731.3,12064.8,12064.7,11696.2,12555.0,12926.3,13482.4,12646.1,13495.0,13430.0,13855.8,13690.5,14692.7,14573.2,15154.6,15400.4,16275.8,16262.2
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Slovakia,18895.5,20469.8,21410.3,21166.2,19181.2,21030.7,21932.7,21823.4,20149.0,22204.4,23215.2,22843.0,21329.7,23187.4,24037.7,23775.6,21543.4,21633.4,24567.4,24358.7,22640.4,24974.3,26166.3,25941.3,23561.4,25562.1,26799.2,26495.8,25317.5,27908.3,29326.4,29053.8,28806.3,31341.9,32685.4
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Turkey,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,,,,,,,,,,,,,,,,
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),United Kingdom,662838.9,668552.3,668477.9,690400.1,611946.6,614427.4,619080.4,631025.8,589512.6,588648.0,598299.2,612888.5,603458.8,601930.6,611746.2,636947.7,593079.1,474868.1,557564.1,,,,,,,,,,,,,,,,
"Previous year prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Kosovo*,1246.8,1531.9,1668.9,1542.9,1317.9,1630.4,1769.4,1610.9,1386.2,1695.8,1810.9,1680.1,1459.1,1788.3,1941.4,1800.1,1477.8,1586.7,1802.8,1812.0,1570.2,1854.5,2092.4,1982.1,1705.1,1989.7,2330.2,2273.4,1867.3,2196.5,2623.8,2570.0,2044.4 p,2382.4 p,2869.4 p
"Previous year prices, million euro",Seasonally and calendar adjusted data,Cyprus,4699.5,4729.1,4792.1,4903.0,4967.3,4973.0,5043.8,5123.1,5326.0,5356.5,5383.8,5520.1,5681.8,5743.7,5792.8,5871.2,5930.3,5220.8,5580.4,5916.1,6054.0,6121.6,6280.8,6465.0,6817.9,6854.2,6929.8,6969.9,7478.2,7507.8,7562.3,7635.9,8062.6,8070.6,8151.5
"Previous year prices, million euro",Seasonally and calendar adjusted data,Czechia,43317.5,43442.5,43849.7,44250.9,46045.1,47166.3,47544.7,47888.6,50205.1,50360.1,50696.2,51251.7,54795.0,55067.3,55472.1,55883.7,55966.7,51077.5,54844.8,55405.1,56062.2,56846.9,57832.2,58383.3,63093.0,63246.7,63351.9,63266.0,71778.6,71886.9,71613.1,71826.5,79821.7,79953.1,80378.1
"Previous year prices, million euro",Seasonally and calendar adjusted data,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2684680.6,2690961.3,2703625.2,2723035.9,2768942.8,2789246.1,2809348.0,2831896.1,2864437.1,2879009.7,2880698.8,2898415.2,2961703.9,2972151.7,2977272.6,2977500.5,2926809.5,2601086.3,2904881.0,2914498.5,2984998.6,3052242.5,3107894.0,3131992.2,3214968.7,3244378.1,3263738.5,3260956.7,3443670.0,3446343.8,3446496.7,3448116.7,3664013.4,3670438.4,3685432.3
"Previous year prices, million euro",Seasonally and calendar adjusted data,Euro area - 12 countries (2001-2006),2626367.0,2632319.2,2644507.4,2663291.5,2707903.2,2727661.1,2747196.6,2768858.3,2799383.2,2813089.9,2814198.5,2831254.3,2892088.9,2902232.3,2907001.5,2906729.3,2855253.8,2535390.3,2833582.3,2842549.6,2910119.4,2976430.6,3030491.3,3053931.4,3133944.6,3163859.4,3182963.4,3180010.1,3337574.3,3339140.7,3338928.4,3340001.4,3545332.3,3551385.2,3565745.7
"Previous year prices, million euro",Seasonally and calendar adjusted data,Euro area - 19 countries  (2015-2022),2684680.6,2690961.3,2703625.2,2723035.9,2768942.8,2789246.1,2809348.0,2831896.1,2864437.1,2879009.7,2880698.8,2898415.2,2961703.9,2972151.7,2977272.6,2977500.5,2926809.5,2601086.3,2904881.0,2914498.5,2984998.6,3052242.5,3107894.0,3131992.2,3214968.7,3244378.1,3263738.5,3260956.7,3426532.5,3428865.6,3429037.4,3430347.3,3644042.2,3650267.5,3665101.8
"Previous year prices, million euro",Seasonally and calendar adjusted data,Euro area - 20 countries (from 2023),2696447.2,2702637.9,2715359.5,2734926.1,2781116.0,2801456.9,2821705.4,2844292.8,2877138.0,2891953.6,2893683.2,2911451.7,2975356.4,2985872.7,2990960.0,2991119.5,2940478.2,2612820.1,2917236.5,2927873.8,2999056.6,3066238.8,3122196.2,3146763.5,3230503.2,3260045.3,3279535.5,3276608.0,3443670.0,3446343.8,3446496.7,3448116.7,3664013.4,3670438.4,3685432.3
"Previous year prices, million euro",Seasonally and calendar adjusted data,Spain,277513.0,278431.0,280632.0,282227.0,285283.0,288266.0,290087.0,291853.0,296788.0,298723.0,300391.0,302149.0,307611.0,308498.0,309089.0,310853.0,298970.0,245782.0,284867.0,286934.0,293675.0,297701.0,303569.0,309736.0,321920.0 p,327472.0 p,330270.0 p,332156.0 p,350144.0 p,351006.0 p,353318.0 p,355914.0 p,381658.0 p,384769.0 p,387828.0 p
"Previous year prices, million euro",Seasonally and calendar adjusted data,European Union - 27 countries (from 2020),3114524.5,3124199.0,3139291.3,3162366.3,3213251.5,3238860.1,3262725.5,3289171.2,3339066.5,3358070.7,3363745.2,3385054.1,3457223.3,3472335.6,3479641.0,3484094.2,3439260.1,3069094.0,3401466.0,3418733.9,3507435.5,3584591.2,3647950.5,3682329.3,3793106.1,3822783.9,3843897.6,3837474.5,4050131.9,4051909.3,4057519.7,4060832.6,4319658.7,4329725.9,4345953.3
