freq,unit,sex,age,icd10,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,RT,F,TOTAL,A-R_V-Y,DEB2	851.83 	867.35 	824.6 	894.21 	837.26 	846.58 	862.54 	837.03 	822.02 	809.35 
A,RT,F,TOTAL,A-R_V-Y,DEB3	894.03 	900.42 	838.26 	882.92 	818.4 	848 	867.03 	841.46 	841.69 	840.49 
A,RT,F,TOTAL,A-R_V-Y,DEC	926.73 	940.37 	908.18 	952.09 	910.11 	911.3 	962.63 	920.45 	898.95 	930.53 
A,RT,F,TOTAL,A-R_V-Y,DEC0	926.73 	940.37 	908.18 	952.09 	910.11 	911.3 	962.63 	920.45 	898.95 	930.53 
A,RT,F,TOTAL,A-R_V-Y,DED	843.76 	862.42 	805.24 	838.28 	792.93 	797.32 	823.4 	781.03 	852.22 	874.9 
A,RT,F,TOTAL,A-R_V-Y,DED2	816.06 	821.28 	772.6 	804.27 	758.24 	756.87 	772.03 	743.7 	833.27 	828.11 
A,RT,F,TOTAL,A-R_V-Y,DED4	849.79 	892.78 	829.58 	864.84 	818.93 	820.13 	856.09 	812.58 	903.31 	941.54 
A,RT,F,TOTAL,A-R_V-Y,DED5	880.17 	880.88 	819.99 	850.37 	806.33 	825.98 	856.75 	791.11 	797.2 	843.87 
A,RT,F,TOTAL,A-R_V-Y,DEE	929.55 	945.29 	905.63 	932.5 	879.9 	900.68 	916.23 	865.51 	879.47 	949.18 
A,RT,F,TOTAL,A-R_V-Y,DEE0	929.55 	945.29 	905.63 	932.5 	879.9 	900.68 	916.23 	865.51 	879.47 	949.18 
A,RT,F,TOTAL,A-R_V-Y,DEF	913.02 	912.11 	863.15 	883.07 	865.29 	876.19 	900.23 	846.51 	825.76 	852.98 
A,RT,F,TOTAL,A-R_V-Y,DEF0	913.02 	912.11 	863.15 	883.07 	865.29 	876.19 	900.23 	846.51 	825.76 	852.98 
A,RT,F,TOTAL,A-R_V-Y,DEG	913.28 	914.54 	861.4 	900.75 	856.74 	890.75 	885.77 	853.54 	839.8 	958.32 
A,RT,F,TOTAL,A-R_V-Y,DEG0	913.28 	914.54 	861.4 	900.75 	856.74 	890.75 	885.77 	853.54 	839.8 	958.32 
A,RT,F,TOTAL,A-R_V-Y,DK	926.73 	910.66 	871.92 	876.93 	867.05 	851.97 	866.05 	827.3 	816.87 	840.06 
A,RT,F,TOTAL,A-R_V-Y,DK0	925.6 	909.31 	870.69 	875.93 	865.72 	850.7 	873.41 	830.1 	816.45 	839.03 
A,RT,F,TOTAL,A-R_V-Y,DK01	939.39 	922.3 	868.97 	891.84 	873.77 	863.88 	862.79 	833.65 	824.72 	814.34 
A,RT,F,TOTAL,A-R_V-Y,DK02	967.25 	959.77 	906.77 	913.12 	911.1 	918.02 	919.74 	892.47 	864.4 	902.89 
A,RT,F,TOTAL,A-R_V-Y,DK03	901.58 	897.78 	874.57 	852.12 	844.59 	820.87 	857.41 	810.95 	801.67 	837.91 
A,RT,F,TOTAL,A-R_V-Y,DK04	901.84 	862.21 	845.63 	847.13 	837.79 	832.6 	852.35 	795.68 	786.57 	817.91 
A,RT,F,TOTAL,A-R_V-Y,DK05	930.71 	921.3 	871.7 	889.49 	879.85 	824.03 	912.52 	845.29 	818.62 	862.12 
A,RT,F,TOTAL,A-R_V-Y,EE	989.55 	986.17 	961.79 	946.67 	916.84 	901.61 	897.9 	856.77 	865.38 	997.71 
A,RT,F,TOTAL,A-R_V-Y,EE0	989.55 	986.17 	961.79 	946.67 	916.84 	901.61 	902.97 	858.97 	865.38 	997.71 
A,RT,F,TOTAL,A-R_V-Y,EE00	989.55 	986.17 	961.79 	946.67 	916.84 	901.61 	902.97 	858.97 	865.38 	997.71 
A,RT,F,TOTAL,A-R_V-Y,EL	874.67 	816.16 	806.54 	843.38 	806.37 	826.86 	778.72 	799.83 	830.25 	894.05 
A,RT,F,TOTAL,A-R_V-Y,EL3	854.55 	805.34 	802.25 	838.38 	811.21 	835.98 	810.93 	805.1 	814.55 	901.26 
A,RT,F,TOTAL,A-R_V-Y,EL30	854.55 	805.34 	802.25 	838.38 	811.21 	835.98 	810.93 	805.1 	814.55 	901.26 
A,RT,F,TOTAL,A-R_V-Y,EL4	827.41 	767.89 	780.44 	807.69 	782.73 	781.92 	749.69 	774.94 	768.23 	779.64 
A,RT,F,TOTAL,A-R_V-Y,EL41	835.35 	751.05 	791.17 	795.19 	756.13 	746.87 	730.99 	724.95 	718.54 	693.66 
A,RT,F,TOTAL,A-R_V-Y,EL42	861.64 	801.87 	835.99 	818.51 	813.57 	773.83 	743.37 	820.88 	786.57 	813.47 
A,RT,F,TOTAL,A-R_V-Y,EL43	812.47 	763.81 	757.41 	806.49 	781.93 	803.25 	761.59 	777.89 	786.08 	803.78 
A,RT,F,TOTAL,A-R_V-Y,EL5	: 	856.41 	825.6 	858.15 	814.99 	834.74 	805.54 	817.62 	885.11 	936.89 
A,RT,F,TOTAL,A-R_V-Y,EL51	: 	949.15 	893.4 	915.39 	882.29 	932.26 	884.62 	878.96 	977.63 	976.97 
