ISO3,year,month,day,vaccines,country
ALB,2021,9,25,932595.0,Albania
ALB,2021,9,26,932595.0,Albania
ALB,2021,9,27,938985.0,Albania
ALB,2021,9,28,941418.0,Albania
ALB,2021,9,29,944011.0,Albania
ALB,2021,9,30,946495.0,Albania
ALB,2021,10,1,948553.0,Albania
ALB,2021,10,2,950620.0,Albania
ALB,2021,10,3,950620.0,Albania
ALB,2021,10,4,952949.0,Albania
ALB,2021,10,5,955083.0,Albania
ALB,2021,10,6,957147.0,Albania
ALB,2021,10,7,958874.0,Albania
ALB,2021,10,8,960652.0,Albania
ALB,2021,10,9,962281.0,Albania
ALB,2021,10,10,962281.0,Albania
ALB,2021,10,11,962281.0,Albania
ALB,2021,10,12,968117.0,Albania
ALB,2021,10,13,970703.0,Albania
ALB,2021,10,14,970703.0,Albania
ALB,2021,10,15,970703.0,Albania
ALB,2021,10,16,970703.0,Albania
ALB,2021,10,17,979655.0,Albania
ALB,2021,10,18,982467.0,Albania
ALB,2021,10,19,985320.0,Albania
ALB,2021,10,20,988414.0,Albania
ALB,2021,10,21,991371.0,Albania
ALB,2021,10,22,994446.0,Albania
ALB,2021,10,23,994446.0,Albania
ALB,2021,10,24,998130.0,Albania
ALB,2021,10,25,1000993.0,Albania
ALB,2021,10,26,1000993.0,Albania
ALB,2021,10,27,1007734.0,Albania
ALB,2021,10,28,1011039.0,Albania
ALB,2021,10,29,1013959.0,Albania
ALB,2021,10,30,1013959.0,Albania
ALB,2021,10,31,1013959.0,Albania
ALB,2021,11,1,1018154.0,Albania
ALB,2021,11,2,1018154.0,Albania
ALB,2021,11,3,1025180.0,Albania
ALB,2021,11,4,1025180.0,Albania
ALB,2021,11,5,1025180.0,Albania
ALB,2021,11,6,1031588.0,Albania
ALB,2021,11,7,1032457.0,Albania
ALB,2021,11,8,1032457.0,Albania
ALB,2021,11,9,1037546.0,Albania
ALB,2021,11,10,1040015.0,Albania
ALB,2021,11,11,1042227.0,Albania
ALB,2021,11,12,1042227.0,Albania
ALB,2021,11,13,1042227.0,Albania
ALB,2021,11,14,1047822.0,Albania
ALB,2021,11,15,1047822.0,Albania
ALB,2021,11,16,1051540.0,Albania
ALB,2021,11,17,1053553.0,Albania
ALB,2021,11,18,1055690.0,Albania
ALB,2021,11,19,1055690.0,Albania
ALB,2021,11,20,1055690.0,Albania
ALB,2021,11,21,1059927.0,Albania
ALB,2021,11,22,1059927.0,Albania
ALB,2021,11,23,1059927.0,Albania
ALB,2021,11,24,1065961.0,Albania
ALB,2021,11,25,1067769.0,Albania
ALB,2021,11,26,1067769.0,Albania
ALB,2021,11,27,1067769.0,Albania
ALB,2021,11,28,1071871.0,Albania
ALB,2021,11,29,1071871.0,Albania
ALB,2021,11,30,1072645.0,Albania
ALB,2021,12,1,1075332.0,Albania
ALB,2021,12,2,1075332.0,Albania
ALB,2021,12,3,1080490.0,Albania
ALB,2021,12,4,1080490.0,Albania
ALB,2021,12,5,1084071.0,Albania
ALB,2021,12,6,1087187.0,Albania
ALB,2021,12,7,1090591.0,Albania
ALB,2021,12,8,1092316.0,Albania
ALB,2021,12,9,1092316.0,Albania
ALB,2021,12,10,1092316.0,Albania
ALB,2021,12,11,1092316.0,Albania
ALB,2021,12,12,1102621.0,Albania
ALB,2021,12,13,1105501.0,Albania
ALB,2021,12,14,1108572.0,Albania
ALB,2021,12,15,1111494.0,Albania
ALB,2021,12,16,1111494.0,Albania
ALB,2021,12,17,1111494.0,Albania
ALB,2021,12,18,1119430.0,Albania
ALB,2021,12,19,1119430.0,Albania
ALB,2021,12,20,1119430.0,Albania
ALB,2021,12,21,1126181.0,Albania
ALB,2021,12,22,1126181.0,Albania
ALB,2021,12,23,1131547.0,Albania
ALB,2021,12,24,1131547.0,Albania
ALB,2021,12,25,1131547.0,Albania
ALB,2021,12,26,1131547.0,Albania
ALB,2021,12,27,1131547.0,Albania
ALB,2021,12,28,1141486.0,Albania
ALB,2021,12,29,1141486.0,Albania
ALB,2021,12,30,1141486.0,Albania
ALB,2021,12,31,1141486.0,Albania
ALB,2022,1,1,1141486.0,Albania
ALB,2022,1,2,1141486.0,Albania
ALB,2022,1,3,1141486.0,Albania
ALB,2022,1,4,1155638.0,Albania
ALB,2022,1,5,1160648.0,Albania
ALB,2022,1,6,1160648.0,Albania
ALB,2022,1,7,1160648.0,Albania
ALB,2022,1,8,1175177.0,Albania
ALB,2022,1,9,1175177.0,Albania
ALB,2022,1,10,1179912.0,Albania
ALB,2022,1,11,1183130.0,Albania
ALB,2022,1,12,1183130.0,Albania
ALB,2022,1,13,1183130.0,Albania
ALB,2022,1,14,1183130.0,Albania
ALB,2022,1,15,1183130.0,Albania
ALB,2022,1,16,1183130.0,Albania
ALB,2022,1,17,1183130.0,Albania
ALB,2022,1,18,1183130.0,Albania
ALB,2022,1,19,1183130.0,Albania
ALB,2022,1,20,1183130.0,Albania
ALB,2022,1,21,1183130.0,Albania
ALB,2022,1,22,1183130.0,Albania
ALB,2022,1,23,1183130.0,Albania
ALB,2022,1,24,1183130.0,Albania
ALB,2022,1,25,1183130.0,Albania
ALB,2022,1,26,1183130.0,Albania
ALB,2022,1,27,1183130.0,Albania
ALB,2022,1,28,1183130.0,Albania
ALB,2022,1,29,1183130.0,Albania
ALB,2022,1,30,1210040.0,Albania
ALB,2022,1,31,1210040.0,Albania
ALB,2022,2,1,1250672.0,Albania
ALB,2022,2,2,1250672.0,Albania
ALB,2022,2,3,1250672.0,Albania
ALB,2022,2,4,1250672.0,Albania
ALB,2022,2,5,1250672.0,Albania
ALB,2022,2,6,1255350.0,Albania
ALB,2022,2,7,1256409.0,Albania
ALB,2022,2,8,1256409.0,Albania
