ISO2,ISO3,country,year,month,day,deaths
AL,ALB,Albania,2021,6,22,2454
AL,ALB,Albania,2021,6,23,2455
AL,ALB,Albania,2021,6,24,2455
AL,ALB,Albania,2021,6,25,2455
AL,ALB,Albania,2021,6,26,2455
AL,ALB,Albania,2021,6,27,2455
AL,ALB,Albania,2021,6,28,2456
AL,ALB,Albania,2021,6,29,2456
AL,ALB,Albania,2021,6,30,2456
AL,ALB,Albania,2021,7,1,2456
AL,ALB,Albania,2021,7,2,2456
AL,ALB,Albania,2021,7,3,2456
AL,ALB,Albania,2021,7,4,2456
AL,ALB,Albania,2021,7,5,2456
AL,ALB,Albania,2021,7,6,2456
AL,ALB,Albania,2021,7,7,2456
AL,ALB,Albania,2021,7,8,2456
AL,ALB,Albania,2021,7,9,2456
AL,ALB,Albania,2021,7,10,2456
AL,ALB,Albania,2021,7,11,2456
AL,ALB,Albania,2021,7,12,2456
AL,ALB,Albania,2021,7,13,2456
AL,ALB,Albania,2021,7,14,2456
AL,ALB,Albania,2021,7,15,2456
AL,ALB,Albania,2021,7,16,2456
AL,ALB,Albania,2021,7,17,2456
AL,ALB,Albania,2021,7,18,2456
AL,ALB,Albania,2021,7,19,2456
AL,ALB,Albania,2021,7,20,2456
AL,ALB,Albania,2021,7,21,2456
AL,ALB,Albania,2021,7,22,2456
AL,ALB,Albania,2021,7,23,2456
AL,ALB,Albania,2021,7,24,2456
AL,ALB,Albania,2021,7,25,2456
AL,ALB,Albania,2021,7,26,2456
AL,ALB,Albania,2021,7,27,2456
AL,ALB,Albania,2021,7,28,2456
AL,ALB,Albania,2021,7,29,2456
AL,ALB,Albania,2021,7,30,2457
AL,ALB,Albania,2021,7,31,2457
AL,ALB,Albania,2021,8,1,2457
AL,ALB,Albania,2021,8,2,2457
AL,ALB,Albania,2021,8,3,2457
AL,ALB,Albania,2021,8,4,2457
AL,ALB,Albania,2021,8,5,2457
AL,ALB,Albania,2021,8,6,2457
AL,ALB,Albania,2021,8,7,2457
AL,ALB,Albania,2021,8,8,2458
AL,ALB,Albania,2021,8,9,2459
AL,ALB,Albania,2021,8,10,2459
AL,ALB,Albania,2021,8,11,2460
AL,ALB,Albania,2021,8,12,2460
AL,ALB,Albania,2021,8,13,2460
AL,ALB,Albania,2021,8,14,2460
AL,ALB,Albania,2021,8,15,2461
AL,ALB,Albania,2021,8,16,2463
AL,ALB,Albania,2021,8,17,2464
AL,ALB,Albania,2021,8,18,2466
AL,ALB,Albania,2021,8,19,2468
AL,ALB,Albania,2021,8,20,2471
AL,ALB,Albania,2021,8,21,2473
AL,ALB,Albania,2021,8,22,2475
AL,ALB,Albania,2021,8,23,2477
AL,ALB,Albania,2021,8,24,2478
AL,ALB,Albania,2021,8,25,2478
AL,ALB,Albania,2021,8,26,2480
AL,ALB,Albania,2021,8,27,2483
AL,ALB,Albania,2021,8,28,2486
AL,ALB,Albania,2021,8,29,2487
AL,ALB,Albania,2021,8,30,2490
AL,ALB,Albania,2021,8,31,2492
AL,ALB,Albania,2021,9,1,2495
AL,ALB,Albania,2021,9,2,2498
AL,ALB,Albania,2021,9,3,2501
AL,ALB,Albania,2021,9,4,2505
AL,ALB,Albania,2021,9,5,2508
AL,ALB,Albania,2021,9,6,2512
AL,ALB,Albania,2021,9,7,2515
AL,ALB,Albania,2021,9,8,2519
AL,ALB,Albania,2021,9,9,2523
AL,ALB,Albania,2021,9,10,2528
AL,ALB,Albania,2021,9,11,2531
AL,ALB,Albania,2021,9,12,2535
AL,ALB,Albania,2021,9,13,2539
AL,ALB,Albania,2021,9,14,2543
AL,ALB,Albania,2021,9,15,2548
AL,ALB,Albania,2021,9,16,2553
AL,ALB,Albania,2021,9,17,2557
AL,ALB,Albania,2021,9,18,2563
AL,ALB,Albania,2021,9,19,2569
AL,ALB,Albania,2021,9,20,2574
AL,ALB,Albania,2021,9,21,2580
AL,ALB,Albania,2021,9,22,2587
AL,ALB,Albania,2021,9,23,2594
AL,ALB,Albania,2021,9,24,2601
AL,ALB,Albania,2021,9,25,2609
AL,ALB,Albania,2021,9,26,2619
AL,ALB,Albania,2021,9,27,2629
AL,ALB,Albania,2021,9,28,2640
AL,ALB,Albania,2021,9,29,2653
AL,ALB,Albania,2021,9,30,2668
AL,ALB,Albania,2021,10,1,2685
AL,ALB,Albania,2021,10,2,2698
AL,ALB,Albania,2021,10,3,2705
AL,ALB,Albania,2021,10,4,2710
AL,ALB,Albania,2021,10,5,2713
AL,ALB,Albania,2021,10,6,2718
AL,ALB,Albania,2021,10,7,2725
AL,ALB,Albania,2021,10,8,2734
AL,ALB,Albania,2021,10,9,2746
AL,ALB,Albania,2021,10,10,2753
AL,ALB,Albania,2021,10,11,2759
AL,ALB,Albania,2021,10,12,2768
AL,ALB,Albania,2021,10,13,2777
AL,ALB,Albania,2021,10,14,2783
AL,ALB,Albania,2021,10,15,2788
AL,ALB,Albania,2021,10,16,2797
AL,ALB,Albania,2021,10,17,2807
AL,ALB,Albania,2021,10,18,2810
AL,ALB,Albania,2021,10,19,2820
AL,ALB,Albania,2021,10,20,2829
AL,ALB,Albania,2021,10,21,2841
AL,ALB,Albania,2021,10,22,2849
AL,ALB,Albania,2021,10,23,2855
AL,ALB,Albania,2021,10,24,2863
AL,ALB,Albania,2021,10,25,2870
AL,ALB,Albania,2021,10,26,2874
AL,ALB,Albania,2021,10,27,2880
AL,ALB,Albania,2021,10,28,2888
AL,ALB,Albania,2021,10,29,2893
AL,ALB,Albania,2021,10,30,2902
AL,ALB,Albania,2021,10,31,2909
AL,ALB,Albania,2021,11,1,2916
AL,ALB,Albania,2021,11,2,2924
AL,ALB,Albania,2021,11,3,2931
AL,ALB,Albania,2021,11,4,2937
AL,ALB,Albania,2021,11,5,2940
AL,ALB,Albania,2021,11,6,2944
AL,ALB,Albania,2021,11,7,2948
AL,ALB,Albania,2021,11,8,2950
AL,ALB,Albania,2021,11,9,2955
AL,ALB,Albania,2021,11,10,2966
AL,ALB,Albania,2021,11,11,2970
